"product_name,dosage_form,dosage_form_colour,dosage_form_shape,dosage_form_marking,adulterant_type,manufacturer_name,manufacturer_country"
"Stree Overlord Exceed Vigra and Cialis,Pill,Black;Yellow,Oval,No,Sildenafil,Nil,China"
"beFIT Total Garcinia Cambogia,Nil,White,Round,No,Phenolphthalein;Sibutramine,Nil,United States"
"Skinny22 Whitening & Slimming Capsule,Capsule,Pink,Oblong,No,Fluoxetine;Phenolphthalein,Nil,Switzerland"
"Mr Zack Powerbro Anda Lelaki Hebat,Capsule,Yellow,Oblong,No,Propoxyphenyl Aildenafil;Propoxyphenyl Thioaildenafil;Propoxyphenyl Thiohydroxyhomosildenafil;Propoxyphenyl hydroxyhomosildenafil,Nil,Malaysia"
"Sparta X,Capsule,Brown,Oblong,No,Hydroxyhomosildenafil;Hydroxythiohomosildenafil,Nil,Indonesia"
"Magic Penis,Pill,Transparent;Yellow,Oblong,No,Sildenafil,Nil,China"
"AMACE For Him 300mg/capsule,Capsule,Blue;White,Oblong,No,N-cyclopentyl Nortadalafil,Nil,Singapore"
"STARKRx Performance Enhancer /Stark-Rx /Maximum Strength Sexual Enhancer,Capsule,Blue;White,Oblong,No,Sildenafil,Nil,Nil"
"Forta Plus for Men,Capsule,Brown,Oblong,No,N-cyclopentyl Nortadalafil,Nil,United States"
"V12 Fruit Slimming,Powder (Internal Use),Nil,Nil,No,Sibutramine,American bulgari pharmaceutical Co. Ltd,Philippines"
"VTOX Trim Up Weight Loss Program (威特尔健美奇天然褐藻素),Powder (Internal Use),Nil,Nil,No,Sibutramine,Zinnia Global Sdn. Bhd.,Malaysia"
"Montalin Jamu Pegal Linu Dan Asam Urat,Capsule,Red,Oblong,No,Paracetamol;Piroxicam,PJ. Air Madu Magelang,Indonesia"
"Black Ant King (黑蚁王),Nil,Green,Oval,Yes,Sildenafil,Hong Kong Hongwei Bioengineering Company,Hong Kong"
"Darling Peculiar Hormone Cream 3g (爱人药霜),Cream,Nil,Nil,No,Lignocaine,Nil,Hong Kong"
"France T253,Nil,Green,Oblong,Yes,Sildenafil,La sha City a dragon living creature technique limited company Tibet,Nil"
"Miramax (增粗增大丸),Capsule,Gold,Oblong,No,Sildenafil,Nil,United States"
"new Max Man Three Effectiveness,Pill,Black;Brown,Oblong,Yes,Sildenafil,Hong Kong Victoria Male Health Products Co. Ltd,Hong Kong"
"African Superman (非洲超人),Nil,Black,Oblong,Yes,Sildenafil,African Duoronzi Medicine Nations Group Neimenggu Shenqi Bio-medic Co. Ltd,Nil"
"Black Deity (Sildenafil citrate) granule,Nil,Blue,Oblong,Yes,Sildenafil,Nil,Nil"
"Red Cialis Viagra,Nil,Brown,Teardrop,Yes,Sildenafil,Nil,Nil"
"Bonjour (fresh peach flavour),Powder (Internal Use),Nil,Nil,No,Sibutramine,Nil,Nil"
"Super Fat Burning Bomb (仟佳俪左旋肉碱减肥胶嚢),Capsule,Green,Oblong,No,Diclofenac;Ibuprofen;Piroxicam;Sildenafil,博美(香港)集团有限公司和赤峰御鹿生物技术有限公司,China"
"Revival for Men Only,Capsule,Transparent,Oblong,No,N-cyclopentyl Nortadalafil;Tadalafil,Not Available,Nil"
"Man Up Now Capsules,Capsule,Red,Oblong,No,Dimethylsildenafil;Thiodimethylsildenafil,Not Available,Nil"
"XiangYing (享硬瑪卡濃缩片),Nil,Yellow,Oblong,Yes,Sildenafil;Tadalafil,Jiashen Sheng Ji Gong Fang You Xian Gong Si (甲申生技工坊有限公司),Taiwan Province of China"
